igbo_word,english_translation,pronunciation_guide
mụ mmà,"sharpen a knife, matchet, sword",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b80c9.webm
òsekè,shovel; a tool with a flat square or rectangular head used for scooping things from the ground,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/64c982fa2df9fb1807e55a9f.mp3
nya,stay by a heat source for warmth; bask; sunbathe,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63adfa82c6407cf40397b35f.mp3
ọ̀nàtàràchi,"talent; a natural, special ability or skill",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63f689a21e980554bae75496.mp3
àtụ̀tụ̀,theory; a system of opinions intended to explain something,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/636d774bc9116343e2085ff1.mp3
ocheezè,throne; a king's chair,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7641.webm
chè echìchè,"to have a conscious mind to some extent of reasoning, remembering experiences and making rational decisions; think",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b731a.webm
nwe àgbà,to have a say in something; have influence over something; be influential,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/644e0af267ea5a366774ea26.mp3
gbu mmadụ̀,to kill a person,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6437d327c1f525c800754b6e.mp3
kwàgbu,to rape a person to death,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/637e36e60e11e110a123e205.mp3
kpọ̀ga,to take a person from one location to another location,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/633c98c99888d701a4d605ad.mp3
mpochi,toilet; a place meant for defecation,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6348c04b9370c86ffc861c95.mp3
akwòochē,velvet; a sleek soft fabric commonly used for royal cape and upholstery making,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/643fbae3de880e60aa5b7412.mp3
èbeē,where?; a question tag used to ask for location,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7503.webm
m̀pio,window; a hole in a compound wall (sometimes used to allow animals in and out),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/617818d34374292cad815239.webm
gba òdìbò,work as a servant or aide; serve,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62fe6ae283da913a56b7058f.mp3
gbā ōhù,work as a slave; work as a servant(old use),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b868a.webm
Ọ̀nị̀chà,"Onitsha, a town in Anambra State; one of the L.G.As in Anambra State; the largest commercial city in the South Eastern part of Nigeria",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6352a5c37bc66180389592a5.mp3
ngwongwo,baggage; a lot of luggage; load,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7dfb.webm
tụ èbìlì,be wavy (a sea or river),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6323332925713a42c51fc48f.mp3
fụ̀nyụ̀,blow off a light,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b76e3.webm
zụfọ,"buy with a remainder, not buying completely; buy partly; have a balance",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6447aa3c78019b4a1a6499d4.mp3
butè akā,carry to a great distance; carry for a long period,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6446513e5291ce2ab585010a.mp3
dechàpụ̀,complete a write-up; write completely by writing the remaining part,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b73fb.mp3
ekè,creator; a divinity,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b75a4.webm
bì nkenke,shorten (a speech);,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/644970dbb29c2fa6a897094f.mp3
te egwu,dance in a peculiar way,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/64f66a3bf43d0bcd9dc47a0f.mp3
